timestamp,symbol,O,H,L,C,V
2025-06-01,AAPL,225.06,225.51,223.47,223.83,66463
2025-06-02,AAPL,223.84,224.38,222.35,223.38,73427
2025-06-03,AAPL,223.24,225.65,223.24,225.34,49456
2025-06-04,AAPL,225.19,226.45,224.99,226.44,41566
2025-06-05,AAPL,226.47,226.47,224.82,224.82,31645
2025-06-06,AAPL,224.73,225.39,224.41,225.27,71803
2025-06-07,AAPL,225.23,225.57,224.66,225.25,47309
2025-06-08,AAPL,225.3,226.93,225.3,226.59,67789
2025-06-09,AAPL,226.51,226.51,223.76,224.63,46703
2025-06-10,AAPL,224.25,224.85,223.91,224.75,53854
2025-06-11,AAPL,224.84,225.29,224.34,224.83,47629
2025-06-12,AAPL,224.81,225.37,224.32,224.79,58270
2025-06-13,AAPL,224.87,225.08,223.79,224.13,30463
2025-06-14,AAPL,224.04,224.85,223.65,224.63,45165
2025-06-15,AAPL,224.69,225.6,224.09,225.09,51869
2025-06-16,AAPL,225.18,225.53,224.88,225.43,31436
2025-06-17,AAPL,225.44,226.96,224.9,226.35,51778
2025-06-18,AAPL,226.38,227.53,225.29,225.52,65484
2025-06-19,AAPL,225.56,227.27,225.21,226.71,58050
2025-06-20,AAPL,226.55,229.3,225.97,229.3,59456
2025-06-21,AAPL,229.25,229.61,228.29,228.84,32679
2025-06-22,AAPL,228.7,228.7,226.95,227.35,31879
2025-06-23,AAPL,227.31,227.35,225.85,225.99,29077
2025-06-24,AAPL,225.94,227.75,225.42,227.57,49762
2025-06-25,AAPL,227.53,228.58,227.27,228.24,37660
2025-06-26,AAPL,228.19,228.54,226.23,228.05,65819
2025-06-27,AAPL,228.11,228.36,226.13,226.45,65512
2025-06-28,AAPL,226.37,226.37,224.89,224.99,44267
2025-06-29,AAPL,224.91,225.54,224.72,225.54,35795
2025-06-30,AAPL,225.46,226.26,225.31,226.01,51258
2025-06-01,GOOG,179.73,180.3,179.64,179.9,22100
2025-06-02,GOOG,180.04,181.52,179.58,181.44,54227
2025-06-03,GOOG,181.34,182.53,181.03,181.6,73597
2025-06-04,GOOG,181.46,182.42,181.43,182.35,23527
2025-06-05,GOOG,182.31,183.0,181.59,183.0,60951
2025-06-06,GOOG,183.09,183.09,181.59,181.93,59210
2025-06-07,GOOG,181.91,181.91,180.63,181.08,69846
2025-06-08,GOOG,180.94,181.77,180.71,180.94,45629
2025-06-09,GOOG,180.76,181.11,179.63,179.78,50998
2025-06-10,GOOG,179.8,180.18,178.82,178.92,51739
2025-06-11,GOOG,178.88,180.04,178.72,179.84,64215
2025-06-12,GOOG,179.63,180.48,179.42,180.45,67935
2025-06-13,GOOG,180.35,180.43,179.28,179.39,54163
2025-06-14,GOOG,179.3,181.04,179.22,180.66,69344
2025-06-15,GOOG,180.63,181.73,179.5,181.73,76391
2025-06-16,GOOG,181.63,181.88,179.93,180.47,78872
2025-06-17,GOOG,180.59,180.77,178.75,179.63,64611
2025-06-18,GOOG,179.79,182.93,179.69,182.93,54023
2025-06-19,GOOG,182.83,182.83,181.55,181.82,46582
2025-06-20,GOOG,181.86,183.38,181.86,183.33,34979
2025-06-21,GOOG,183.44,183.84,182.12,182.23,62481
2025-06-22,GOOG,182.14,183.3,182.02,183.19,32262
2025-06-23,GOOG,183.15,183.24,181.58,181.69,54195
2025-06-24,GOOG,181.64,182.98,181.64,182.98,30751
2025-06-25,GOOG,182.99,183.84,182.9,183.33,46932
2025-06-26,GOOG,183.25,184.21,183.25,183.79,60522
2025-06-27,GOOG,183.66,183.8,183.02,183.02,35973
2025-06-28,GOOG,183.01,183.01,181.57,181.6,41792
2025-06-29,GOOG,181.58,183.05,181.53,182.59,65450
2025-06-30,GOOG,182.7,182.86,181.77,182.07,49563
2025-06-01,TSLA,873.96,873.96,869.8,869.8,29227
2025-06-02,TSLA,869.83,871.93,867.96,868.18,38664
2025-06-03,TSLA,867.83,868.09,859.31,861.09,64044
2025-06-04,TSLA,861.0,865.96,860.16,861.3,73296
2025-06-05,TSLA,861.57,865.14,860.35,860.99,61856
2025-06-06,TSLA,860.97,862.53,855.91,860.66,57017
2025-06-07,TSLA,859.94,860.08,858.0,859.9,28399
2025-06-08,TSLA,860.2,862.69,858.03,862.51,58400
2025-06-09,TSLA,862.14,865.47,858.05,864.56,52417
2025-06-10,TSLA,865.29,872.41,864.53,868.67,31901
2025-06-11,TSLA,868.64,872.65,868.51,872.29,56709
2025-06-12,TSLA,872.35,873.61,869.59,871.95,46330
2025-06-13,TSLA,871.54,871.54,856.65,860.95,73260
2025-06-14,TSLA,860.95,872.96,860.3,871.98,70792
2025-06-15,TSLA,871.99,874.13,869.43,873.95,62919
2025-06-16,TSLA,874.0,878.48,873.02,875.81,50836
2025-06-17,TSLA,875.92,881.15,872.93,878.84,51562
2025-06-18,TSLA,878.46,879.5,874.12,876.02,47935
2025-06-19,TSLA,876.19,885.82,874.9,882.96,54112
2025-06-20,TSLA,883.35,888.99,881.65,888.99,36742
2025-06-21,TSLA,889.33,892.26,887.65,887.92,39767
2025-06-22,TSLA,886.48,887.23,884.05,886.99,35129
2025-06-23,TSLA,886.66,887.46,879.46,883.8,77644
2025-06-24,TSLA,884.03,885.14,880.59,882.19,42180
2025-06-25,TSLA,882.39,883.52,878.85,883.16,69232
2025-06-26,TSLA,882.78,887.09,882.54,886.84,51011
2025-06-27,TSLA,886.44,888.49,884.09,887.36,42772
2025-06-28,TSLA,887.27,887.7,880.26,882.87,65749
2025-06-29,TSLA,882.8,887.55,880.65,886.95,57725
2025-06-30,TSLA,886.89,889.0,883.16,883.89,69480
